nct_id,title,url,status,conditions,interventions,sponsor,collaborators,study_type,phase
NCT06351332,ZAP-IT: ZN-c3 + Carboplatin + Pembrolizumab in MTNBC,https://clinicaltrials.gov/study/NCT06351332,RECRUITING,Breast Cancer|Breast Cancer Female|Triple Negative Breast Cancer|Hormone Receptor Negative Malignant Tumor Breast Triple|HER2-negative Breast Cancer,DRUG: Azenosertib|DRUG: Carboplatin|DRUG: Pembrolizumab,"Filipa Lynce, MD",Merck Sharp & Dohme LLC|Zentalis Pharmaceuticals,INTERVENTIONAL,Unknown
NCT04965064,Trial of Neratinib Plus Capecitabine in Subjects with HER2-Negative Metastatic Breast Cancer with Brain Metastases and Abnormally Active HER2 Signaling,https://clinicaltrials.gov/study/NCT04965064,RECRUITING,Breast Cancer,DRUG: Capecitabine and Neratinib.,University of Rochester,nan,INTERVENTIONAL,Unknown
NCT00493636,1st or 2nd Line MBC (Metastatic Breast Cancer) With Previous Avastin (Bevacizumab) Therapy,https://clinicaltrials.gov/study/NCT00493636,COMPLETED,Breast Cancer,DRUG: Gemcitabine|DRUG: Sorafenib|DRUG: Placebo|DRUG: Capecitabine,Accelerated Community Oncology Research Network,Amgen,INTERVENTIONAL,Unknown
NCT00609791,Paclitaxel Albumin-Stabilized Nanoparticle Formulation in Treating Patients of Different Ages With Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT00609791,ACTIVE_NOT_RECRUITING,Breast Cancer,DRUG: paclitaxel albumin-stabilized nanoparticle formulation|OTHER: pharmacological study|OTHER: physiologic testing|OTHER: questionnaire administration|OTHER: study of socioeconomic and demographic variables|PROCEDURE: cognitive assessment|PROCEDURE: psychosocial assessment and care,City of Hope Medical Center,National Cancer Institute (NCI),INTERVENTIONAL,Unknown
NCT01811264,Improving Psychosocial Quality of Life in Women With Advanced Breast Cancer,https://clinicaltrials.gov/study/NCT01811264,COMPLETED,Breast Cancer,BEHAVIORAL: Patient-Participation Aid,Northwestern University,"American Cancer Society, Inc.",INTERVENTIONAL,Unknown
NCT00458237,Dose Escalation Followed by Study of RAD001 in Combination With Trastuzumab in HER2-Positive Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT00458237,COMPLETED,Breast Cancer,DRUG: Everolimus|DRUG: Trastuzumab,Beth Israel Deaconess Medical Center,Novartis Pharmaceuticals|Dana-Farber Cancer Institute,INTERVENTIONAL,Unknown
NCT02120417,A Study of Ruxolitinib in Combination With Capecitabine in Subjects With Advanced or Metastatic HER2-negative Breast Cancer,https://clinicaltrials.gov/study/NCT02120417,TERMINATED,Breast Cancer,DRUG: Ruxolitinib|DRUG: Capecitabine|DRUG: Placebo,Incyte Corporation,nan,INTERVENTIONAL,Unknown
NCT00028873,R101933 Combined With Chemotherapy in Treating Patients With Metastatic Breast Cancer That Has Not Responded to Previous Chemotherapy,https://clinicaltrials.gov/study/NCT00028873,COMPLETED,Breast Cancer,DRUG: docetaxel|DRUG: laniquidar|DRUG: paclitaxel,European Organisation for Research and Treatment of Cancer - EORTC,nan,INTERVENTIONAL,Unknown
NCT05845138,A Study of SHR-A1811 Combined With Capecitabine in Treatment of Unresectable or Metastatic Breast Cancer With Low HER2 Expression.,https://clinicaltrials.gov/study/NCT05845138,RECRUITING,Breast Cancer,DRUG: SHR-A1811 for injection ; capecitabine,"Suzhou Suncadia Biopharmaceuticals Co., Ltd.",nan,INTERVENTIONAL,Unknown
NCT02954471,Study of Human Epidermal Growth Factor Receptor 2 (HER2) Expression in Participants With Early/Metastatic Breast Cancer in Saudi Arabia,https://clinicaltrials.gov/study/NCT02954471,COMPLETED,Breast Cancer,nan,Hoffmann-La Roche,nan,OBSERVATIONAL,Unknown
NCT00732056,A Study of GRN163L With Paclitaxel and Bevacizumab to Treat Patients With Locally Recurrent Or Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT00732056,COMPLETED,Breast Cancer,DRUG: GRN163L,Geron Corporation,nan,INTERVENTIONAL,Unknown
